epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,250.395,0.97946,1.06263,0.3985,0.80491,1.38148,0.81855,0.87273,0.89447,0.58182,0.7404,0.79394,0.74751,0.5407,1.17193,1.21693,0.22954,1.04605,1.76862,0.001208,0.001208,0.001208
42,256.234,0.93549,1.10751,0.39218,0.7683,1.3307,0.79257,0.86667,0.86765,0.58038,0.74516,0.77973,0.75635,0.48147,1.18477,1.57552,0.23004,1.1271,1.73584,0.0011882,0.0011882,0.0011882
43,262.588,0.95192,1.2239,0.40945,0.78249,1.36525,0.81796,0.85152,0.90607,0.64921,0.75248,0.79228,0.81769,0.54341,1.0736,1.3762,0.23765,1.09466,1.51972,0.0011684,0.0011684,0.0011684
44,268.33,0.97865,1.08659,0.4294,0.81573,1.38842,0.78067,0.85455,0.8948,0.62185,0.7009,0.77273,0.76144,0.5422,1.14665,1.57026,0.31263,0.96158,1.6238,0.0011486,0.0011486,0.0011486
45,274.13,0.93204,1.02212,0.39621,0.77832,1.3453,0.8499,0.87273,0.91992,0.65998,0.80821,0.79697,0.82692,0.59057,1.1011,1.2995,0.21951,0.92898,1.57513,0.0011288,0.0011288,0.0011288
46,280.051,0.91531,1.00981,0.39369,0.73532,1.33368,0.81769,0.85624,0.89004,0.6064,0.69453,0.72727,0.74616,0.49581,1.22145,1.94784,0.33758,0.95313,1.70888,0.001109,0.001109,0.001109
47,285.859,0.95072,0.9654,0.38916,0.81196,1.39703,0.85712,0.86061,0.91321,0.68316,0.74924,0.79091,0.76746,0.54421,0.96741,1.27783,0.18097,0.78189,1.37019,0.0010892,0.0010892,0.0010892
48,291.521,0.89701,0.97471,0.37057,0.73756,1.31414,0.80392,0.8821,0.88993,0.58631,0.71424,0.80909,0.78272,0.55399,1.24503,1.2995,0.2167,0.93348,1.80427,0.0010694,0.0010694,0.0010694
49,297.401,0.92905,1.10571,0.36943,0.77701,1.33969,0.90325,0.91212,0.94693,0.63852,0.81368,0.82424,0.83892,0.62452,1.15588,1.06398,0.16109,0.78369,1.71547,0.0010496,0.0010496,0.0010496
50,303.28,0.88275,1.03912,0.37761,0.72775,1.29679,0.82523,0.91573,0.91958,0.61698,0.77607,0.86118,0.83712,0.60319,1.15992,0.99723,0.16412,0.90054,1.58881,0.0010298,0.0010298,0.0010298
51,309.133,0.9157,1.06521,0.36696,0.75554,1.30358,0.85017,0.87695,0.92732,0.65851,0.76084,0.79091,0.77663,0.59922,0.99521,1.06364,0.16614,0.72047,1.35214,0.00101,0.00101,0.00101
52,314.897,0.9365,1.0368,0.35911,0.74451,1.36794,0.81629,0.87518,0.90615,0.65634,0.71671,0.77273,0.77692,0.55268,1.08912,1.37985,0.20666,0.73271,1.46667,0.0009902,0.0009902,0.0009902
53,320.748,0.88899,1.07998,0.36964,0.74179,1.32626,0.90229,0.8395,0.90895,0.64982,0.82067,0.7627,0.78696,0.59353,1.09982,1.24005,0.24208,0.64237,1.56658,0.0009704,0.0009704,0.0009704
54,327.083,0.93211,1.05174,0.36449,0.73617,1.33232,0.90603,0.84726,0.91681,0.69822,0.81076,0.76667,0.80434,0.58887,0.97796,1.27513,0.29876,0.60615,1.35023,0.0009506,0.0009506,0.0009506
