epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,44.9821,1.66993,4.71959,0.69252,1.42053,2.11694,0.56629,0.30435,0.45152,0.19693,0.45222,0.13043,0.15778,0.04252,2.78852,5.65164,0.69391,1.96359,3.25731,0.000753432,0.000753432,0.000753432
43,45.9703,1.75377,3.25252,0.68504,1.59757,2.16633,0.54167,0.56522,0.59568,0.21289,0.125,0.13043,0.11299,0.03543,2.75922,5.7305,0.68691,1.97935,3.22488,0.000770146,0.000770146,0.000770146
44,47.0056,1.92421,5.2177,0.6892,1.43673,2.15073,0.56,0.6087,0.62776,0.23687,0.08,0.08696,0.08549,0.02777,2.85936,5.69106,0.6876,1.9575,3.23113,0.00078678,0.00078678,0.00078678
45,47.9954,1.84536,3.74312,0.69726,1.48266,2.22516,0.55,0.47826,0.55739,0.22984,0.74561,0.04348,0.06884,0.01377,2.91379,5.66051,0.6913,1.89019,3.18624,0.000803334,0.000803334,0.000803334
46,49.0348,1.87333,4.95871,0.70336,1.4161,2.26488,0.5,0.52174,0.47443,0.21695,0.08333,0.08696,0.08702,0.02816,2.81256,5.56804,0.68959,1.83884,3.12697,0.00081981,0.00081981,0.00081981
47,50.0739,1.94629,4.29161,0.69082,1.38716,2.10434,0.46154,0.52174,0.46629,0.23518,0.4892,0.04348,0.06334,0.02533,2.59931,5.47583,0.69428,1.78099,3.01169,0.000836206,0.000836206,0.000836206
48,51.0119,2.01099,4.54041,0.6927,1.47451,2.15225,0.45714,0.69565,0.57013,0.29361,0.50977,0.08696,0.13193,0.037,2.34727,5.46468,0.71105,1.62954,2.81825,0.000852524,0.000852524,0.000852524
49,52.1122,1.90491,4.6307,0.70339,1.35406,2.15434,0.46347,0.65217,0.58463,0.27669,0.53905,0.08696,0.12476,0.03399,2.3308,5.43133,0.70558,1.58081,2.74626,0.000868762,0.000868762,0.000868762
50,53.1515,1.69468,4.41632,0.69489,1.20832,1.97291,0.53909,0.47826,0.59408,0.28959,0.1839,0.08696,0.09109,0.02735,2.28188,5.48781,0.70019,1.57503,2.70602,0.00088492,0.00088492,0.00088492
51,54.2365,1.83332,4.07269,0.69471,1.39046,2.16077,0.61606,0.6087,0.68454,0.30163,0.19005,0.17391,0.1469,0.04016,2.30797,5.48752,0.70214,1.52964,2.71607,0.000901,0.000901,0.000901
52,55.3362,1.57851,5.5999,0.70837,1.30057,1.95346,0.71743,0.6087,0.67165,0.30392,0.23935,0.13043,0.1198,0.04221,2.30838,5.66277,0.70174,1.47516,2.69455,0.000917,0.000917,0.000917
53,56.4552,1.65202,3.91088,0.70178,1.25183,2.04151,0.82353,0.6087,0.7326,0.36736,0.23529,0.17391,0.18336,0.06492,2.37492,5.74657,0.69713,1.52524,2.75581,0.000932922,0.000932922,0.000932922
54,57.6392,1.83181,3.65625,0.67548,1.56531,2.15017,0.86667,0.56522,0.7274,0.37404,0.26667,0.17391,0.19252,0.06326,2.39607,5.75735,0.70136,1.53644,2.72716,0.000948764,0.000948764,0.000948764
55,58.7684,1.64859,2.94138,0.67765,1.29985,1.97752,0.875,0.6087,0.76317,0.37512,0.1875,0.13043,0.14863,0.04486,2.21199,5.5352,0.69677,1.4752,2.61753,0.000964526,0.000964526,0.000964526
56,59.8716,1.76541,4.77731,0.70901,1.33012,2.01695,0.76711,0.6087,0.73839,0.35358,0.21053,0.17391,0.14252,0.04034,2.2367,5.32698,0.69882,1.4425,2.58599,0.00098021,0.00098021,0.00098021
57,60.9939,1.86018,5.62362,0.69545,1.47945,2.08054,0.69565,0.69565,0.75734,0.34165,0.42554,0.17391,0.18178,0.04859,2.36269,5.29774,0.69179,1.34551,2.6277,0.000995814,0.000995814,0.000995814
58,62.0051,1.4442,4.25975,0.69496,1.1227,1.84319,0.69565,0.69565,0.74268,0.37265,0.21739,0.21739,0.16444,0.04144,2.25364,5.26514,0.68306,1.29652,2.52449,0.00101134,0.00101134,0.00101134
59,63.0185,2.15516,4.23158,0.67902,1.6768,2.35185,0.7619,0.69565,0.76829,0.39109,0.21895,0.17391,0.12528,0.05023,2.11855,5.3407,0.68848,1.29226,2.4385,0.00102679,0.00102679,0.00102679
60,64.0508,1.91123,3.77677,0.67978,1.57782,2.17772,0.93304,0.60598,0.73404,0.37177,0.19183,0.13043,0.10367,0.04335,2.15126,5.4897,0.69079,1.38212,2.48468,0.00104215,0.00104215,0.00104215
61,65.1612,1.64057,3.64398,0.68174,1.39315,2.06923,0.6875,0.47826,0.57219,0.2856,0.29866,0.17391,0.16694,0.03086,2.33409,5.57442,0.69448,1.57354,2.62343,0.00105744,0.00105744,0.00105744
62,66.2499,1.62178,4.9846,0.68458,1.26831,1.92881,0.60205,0.3913,0.48069,0.19856,0.27068,0.17391,0.17593,0.04103,2.49511,5.54335,0.70519,1.81533,2.80601,0.00107265,0.00107265,0.00107265
63,67.1888,1.69069,4.09082,0.6989,1.29124,2.00209,0.66728,0.34886,0.47973,0.18343,0.33838,0.17391,0.17684,0.05641,2.56186,5.45826,0.7219,1.92373,2.88522,0.00108778,0.00108778,0.00108778
64,68.1335,1.68414,4.11848,0.69191,1.50722,2.041,0.76471,0.56522,0.68913,0.27409,0.38448,0.17391,0.16693,0.06041,2.44461,5.36936,0.73699,1.74972,2.7438,0.00110283,0.00110283,0.00110283
65,69.1523,1.83951,4.29048,0.67935,1.40104,2.11565,0.85896,0.56522,0.6732,0.31699,0.31579,0.26087,0.21477,0.06573,2.22213,5.21939,0.72856,1.59279,2.55612,0.0011178,0.0011178,0.0011178
66,70.1303,1.57895,3.64856,0.67285,1.24454,1.92593,0.82353,0.6087,0.75292,0.39105,0.35294,0.26087,0.24435,0.07584,2.14118,4.90935,0.71812,1.4576,2.49433,0.00113269,0.00113269,0.00113269
67,71.1207,1.58392,4.41677,0.66644,1.26682,1.92239,0.93225,0.59883,0.76649,0.43822,0.47059,0.34783,0.34522,0.09667,2.02636,4.74037,0.74513,1.38535,2.40186,0.0011475,0.0011475,0.0011475
68,72.1048,1.76081,3.84392,0.66097,1.47707,2.04178,0.98003,0.6087,0.78922,0.46561,0.44444,0.34783,0.36167,0.12081,1.94002,4.70068,0.76048,1.28093,2.29704,0.00116224,0.00116224,0.00116224
69,73.1101,1.64926,3.68864,0.65425,1.51415,1.92715,0.66667,0.78261,0.79046,0.45641,0.33333,0.3913,0.29237,0.07319,1.8539,4.94488,0.78168,1.23451,2.24745,0.00117689,0.00117689,0.00117689
70,74.0534,1.55582,3.8017,0.67209,1.20672,1.84515,0.83585,0.66466,0.78043,0.4467,0.32,0.34783,0.27737,0.06312,1.89872,5.10375,0.79324,1.22361,2.30251,0.00119146,0.00119146,0.00119146
71,75.0401,1.84049,4.17236,0.67129,1.31281,1.87662,0.94444,0.73913,0.84041,0.44006,0.38889,0.30435,0.29038,0.06541,1.96649,5.06331,0.78173,1.23227,2.36729,0.00120596,0.00120596,0.00120596
72,76.0199,1.6632,4.58915,0.68254,1.26179,1.93201,0.82353,0.6087,0.74504,0.38329,0.35294,0.26087,0.27864,0.08239,2.00551,4.94574,0.7672,1.28585,2.41085,0.00122038,0.00122038,0.00122038
73,77.011,1.6867,3.75961,0.66031,1.21836,1.92961,0.93244,0.6005,0.74604,0.37757,0.29681,0.21739,0.23849,0.08549,2.06205,4.9101,0.75741,1.35068,2.47063,0.00123471,0.00123471,0.00123471
74,78.0103,1.53856,4.95451,0.67204,1.14731,1.89758,0.78947,0.65217,0.77038,0.34171,0.35264,0.21739,0.19639,0.07618,2.06283,5.01491,0.76262,1.39925,2.49697,0.00124897,0.00124897,0.00124897
75,78.9764,1.50885,3.90156,0.69408,1.27769,1.89031,0.78261,0.78261,0.80438,0.39741,0.30228,0.26087,0.18845,0.07227,2.00931,5.08229,0.76398,1.37421,2.50788,0.00126315,0.00126315,0.00126315
76,79.9087,1.58795,4.6826,0.68585,1.2105,1.90709,0.83319,0.6087,0.70416,0.37476,0.25,0.26087,0.16493,0.06219,1.96859,5.25337,0.7527,1.41573,2.52819,0.00127725,0.00127725,0.00127725
77,80.8685,1.54171,4.1422,0.69944,1.12629,1.80891,0.85863,0.52854,0.69209,0.37729,0.2,0.21739,0.12589,0.05122,1.89838,5.11715,0.70539,1.44617,2.46686,0.00129127,0.00129127,0.00129127
78,81.8634,1.42744,4.04981,0.6866,1.16218,1.86642,0.72088,0.65217,0.70799,0.37129,0.35053,0.26087,0.18656,0.05542,1.8344,5.20983,0.70178,1.38462,2.41058,0.00130521,0.00130521,0.00130521
79,82.795,1.46839,3.67979,0.68266,1.12009,1.76063,0.87428,0.60494,0.74959,0.41803,0.40321,0.30435,0.23688,0.06932,1.77521,5.14485,0.71998,1.31616,2.28456,0.00131907,0.00131907,0.00131907
80,83.8025,1.41649,5.28122,0.70198,1.19807,1.81052,0.83664,0.6087,0.76138,0.37226,0.46646,0.26087,0.26848,0.09607,1.81722,5.09789,0.74833,1.34386,2.26221,0.00133286,0.00133286,0.00133286
81,84.7433,1.43629,4.1519,0.68797,1.07897,1.62688,0.9693,0.52174,0.7215,0.36322,0.4356,0.30435,0.28172,0.07801,1.95012,5.23046,0.77356,1.39955,2.34762,0.00134656,0.00134656,0.00134656
82,85.7008,1.39302,3.14386,0.68836,1.09723,1.80909,0.9685,0.6087,0.74453,0.37094,0.45452,0.30435,0.31684,0.07837,1.97807,5.21253,0.78027,1.41343,2.34809,0.00136018,0.00136018,0.00136018
83,86.686,1.27964,3.5279,0.67737,1.0118,1.74712,0.82858,0.65217,0.77267,0.36846,0.49975,0.34749,0.33203,0.09307,2.05415,5.00057,0.76049,1.40206,2.43027,0.00137373,0.00137373,0.00137373
84,87.6341,1.46121,3.69056,0.66192,1.21689,1.83756,0.90296,0.52174,0.69946,0.33502,0.6591,0.34783,0.42265,0.10354,2.20789,5.04981,0.74246,1.43843,2.57236,0.0013872,0.0013872,0.0013872
85,88.7351,1.63873,4.90235,0.70321,1.27847,1.77802,0.90299,0.52174,0.69497,0.3622,0.59863,0.34783,0.4138,0.11897,2.20185,4.94559,0.72895,1.38697,2.55646,0.00140058,0.00140058,0.00140058
86,89.8224,1.39671,4.05105,0.68854,1.04663,1.73324,0.80421,0.56522,0.70663,0.34759,0.68471,0.47826,0.52817,0.13623,2.14385,4.69158,0.73807,1.43159,2.47878,0.00141389,0.00141389,0.00141389
87,90.834,1.23686,4.61142,0.66718,0.9541,1.63604,0.73066,0.5903,0.69598,0.36122,0.55938,0.47826,0.45019,0.15883,2.03094,4.5367,0.75712,1.39831,2.39168,0.00142712,0.00142712,0.00142712
88,91.7691,1.44972,3.92553,0.66894,1.19812,1.70978,0.7551,0.6087,0.68471,0.42167,0.36641,0.26087,0.24437,0.11418,1.871,4.86938,0.75734,1.44785,2.26185,0.00144027,0.00144027,0.00144027
89,92.7436,1.2208,4.2746,0.6552,1.02786,1.6459,0.73684,0.6087,0.69638,0.45211,0.24824,0.17391,0.17239,0.05098,1.79945,5.75251,0.7919,1.42036,2.19614,0.00145334,0.00145334,0.00145334
90,93.7061,1.47387,3.90748,0.66765,1.14556,1.89879,0.8414,0.52174,0.65761,0.43425,0.65165,0.04348,0.0748,0.04488,1.83849,6.07174,0.79656,1.36182,2.22667,0.00146633,0.00146633,0.00146633
91,94.6102,1.43089,3.55835,0.6673,1.08774,1.71875,0.80936,0.55429,0.62464,0.42076,0.11111,0.08696,0.10065,0.05032,1.87142,6.32163,0.78173,1.31547,2.27175,0.00147924,0.00147924,0.00147924
92,95.6099,1.3583,3.89109,0.63579,1.20153,1.69737,0.71899,0.56522,0.63214,0.37942,0.48178,0.04348,0.0677,0.03385,2.00726,6.56081,0.76707,1.31601,2.36189,0.00149207,0.00149207,0.00149207
93,96.5751,1.2003,2.90291,0.66845,1.04697,1.66631,0.73367,0.56522,0.6208,0.32756,0.12316,0.13043,0.10797,0.03144,2.19674,6.39042,0.74131,1.34182,2.49902,0.00150483,0.00150483,0.00150483
94,97.5392,1.71697,5.13745,0.66884,1.34269,1.9372,0.77529,0.60043,0.7038,0.33428,0.30386,0.21739,0.16751,0.05603,2.17154,5.70654,0.69545,1.34932,2.49635,0.0015175,0.0015175,0.0015175
95,98.5485,1.46236,4.4256,0.6727,1.01374,1.75009,0.62266,0.69565,0.71042,0.35581,0.36498,0.34783,0.21742,0.07004,1.97298,4.95044,0.63754,1.35517,2.32987,0.00153009,0.00153009,0.00153009
96,99.5255,1.26495,3.50205,0.68224,0.97021,1.52581,0.56384,0.78701,0.72152,0.36784,0.35656,0.56522,0.30473,0.09626,1.91506,4.42366,0.60195,1.45485,2.2561,0.00154261,0.00154261,0.00154261
97,100.542,1.33664,3.60614,0.66206,0.99436,1.747,0.65323,0.82609,0.77945,0.4121,0.48471,0.61363,0.50094,0.14116,1.68876,4.24853,0.59649,1.42218,2.10263,0.00155505,0.00155505,0.00155505
98,101.514,1.44301,3.51125,0.68536,1.1416,1.77719,0.65672,0.83193,0.83928,0.48485,0.44817,0.56522,0.42957,0.12544,1.61387,4.33816,0.59395,1.34424,2.01378,0.0015674,0.0015674,0.0015674
99,102.489,1.49837,3.71392,0.65611,1.14543,1.69136,0.80955,0.73927,0.87087,0.53663,0.39184,0.43478,0.2877,0.11088,1.554,4.56361,0.60217,1.14977,1.94643,0.00157968,0.00157968,0.00157968
100,103.426,1.58024,4.05663,0.67843,1.28707,1.8335,0.9029,0.65217,0.86446,0.52142,0.39419,0.43478,0.35671,0.11003,1.53986,5.13377,0.60819,1.15414,1.90605,0.00159188,0.00159188,0.00159188
101,104.396,1.88701,3.20049,0.64093,1.36273,2.0835,0.92568,0.65217,0.84991,0.55941,0.3654,0.3913,0.26322,0.07373,1.50477,5.44416,0.61132,1.12585,1.89665,0.001604,0.001604,0.001604
102,105.3,1.42204,3.55924,0.66023,1.22413,1.73822,0.76952,0.73913,0.84334,0.51432,0.35027,0.34783,0.23005,0.04985,1.60857,5.56271,0.59781,1.07198,1.96507,0.00160004,0.00160004,0.00160004
103,106.302,1.33108,3.35729,0.64935,1.18637,1.69555,0.7037,0.82609,0.83443,0.48682,0.25926,0.30435,0.20744,0.03945,1.67591,5.65043,0.57539,1.07771,2.05135,0.00159608,0.00159608,0.00159608
104,107.259,1.34978,3.31281,0.67714,1.06272,1.67034,0.86666,0.65217,0.82117,0.50033,0.35489,0.3913,0.2756,0.054,1.73095,5.30472,0.55782,1.10282,2.10316,0.00159212,0.00159212,0.00159212
105,108.222,1.41229,3.77757,0.69364,1.09777,1.65175,0.71846,0.73913,0.76281,0.49244,0.35328,0.3913,0.2666,0.04918,1.74128,5.07188,0.54735,1.16316,2.10711,0.00158816,0.00158816,0.00158816
106,109.174,1.45428,3.69402,0.67655,1.17982,1.64765,0.77927,0.73913,0.79833,0.51923,0.53681,0.40361,0.39962,0.0639,1.74452,4.70507,0.55004,1.18105,2.10829,0.0015842,0.0015842,0.0015842
107,110.159,1.24894,3.17599,0.64144,0.96766,1.61631,0.74256,0.78261,0.80879,0.53638,0.66338,0.52174,0.52625,0.10376,1.61401,4.39701,0.5492,1.11389,2.00042,0.00158024,0.00158024,0.00158024
108,111.121,1.43315,3.44365,0.65585,1.26404,1.75548,0.73712,0.78261,0.793,0.49275,0.60043,0.56522,0.51465,0.09795,1.50233,4.48971,0.56297,1.15227,1.91632,0.00157628,0.00157628,0.00157628
109,112.067,1.28835,2.91414,0.66009,0.95262,1.61395,0.80328,0.73913,0.83223,0.51472,0.62494,0.43478,0.46304,0.10512,1.48464,4.72836,0.57906,1.13325,1.90934,0.00157232,0.00157232,0.00157232
110,113.063,1.15676,3.3728,0.6583,0.91142,1.56863,0.95539,0.69565,0.84801,0.53497,0.65422,0.47826,0.45594,0.11166,1.47911,4.64436,0.59478,1.07688,1.90788,0.00156836,0.00156836,0.00156836
111,114.066,1.05004,3.54207,0.68362,0.84847,1.46308,0.80697,0.82609,0.83978,0.55216,0.46383,0.52174,0.38733,0.09743,1.46628,4.51423,0.62448,1.05918,1.95341,0.0015644,0.0015644,0.0015644
112,115.075,1.12627,3.43215,0.6622,1.02506,1.62134,0.8116,0.82609,0.83727,0.575,0.61004,0.47826,0.48697,0.12502,1.52901,4.2073,0.61711,1.03169,2.02336,0.00156044,0.00156044,0.00156044
